id,hedef,sira,enlem,boylam
155,ADB,26,38.774954,27.405085
156,ADB,27,38.678485,27.355201
157,ADB,28,38.581996,27.305451
158,ADB,29,38.485485,27.255835
159,ADB,30,38.388953,27.206351
160,ADB,31,38.292400,27.157000
161,ADD,0,41.275278,28.751944
162,ADD,1,40.247856,29.193969
163,ADD,2,39.218803,29.622763
164,ADD,3,38.188223,30.039159
165,ADD,4,37.156213,30.443927
166,ADD,5,36.122865,30.837785
167,ADD,6,35.088260,31.221403
168,ADD,7,34.052478,31.595404
169,ADD,8,33.015590,31.960370
170,ADD,9,31.977665,32.316847
171,ADD,10,30.938766,32.665347
172,ADD,11,29.898952,33.006349
173,ADD,12,28.858280,33.340304
174,ADD,13,27.816801,33.667636
175,ADD,14,26.774564,33.988747
176,ADD,15,25.731618,34.304014
177,ADD,16,24.688004,34.613795
178,ADD,17,23.643766,34.918430
179,ADD,18,22.598941,35.218239
180,ADD,19,21.553569,35.513531
181,ADD,20,20.507684,35.804594
182,ADD,21,19.461321,36.091709
183,ADD,22,18.414511,36.375141
184,ADD,23,17.367286,36.655145
185,ADD,24,16.319676,36.931965
186,ADD,25,15.271709,37.205835
187,ADD,26,14.223412,37.476984
188,ADD,27,13.174813,37.745628
189,ADD,28,12.125937,38.011979
190,ADD,29,11.076808,38.276244
191,ADD,30,10.027451,38.538619
192,ADD,31,8.977890,38.799301
193,ADF,0,41.275278,28.751944
194,ADF,1,41.174047,29.080861
195,ADF,2,41.071883,29.408758
196,ADF,3,40.968793,29.735633
197,ADF,4,40.864782,30.061484
198,ADF,5,40.759857,30.386308
199,ADF,6,40.654025,30.710104
200,ADF,7,40.547291,31.032870
201,ADF,8,40.439661,31.354605
202,ADF,9,40.331143,31.675307
203,ADF,10,40.221741,31.994975
204,ADF,11,40.111464,32.313608
205,ADF,12,40.000316,32.631205
206,ADF,13,39.888304,32.947767
207,ADF,14,39.775434,33.263291
208,ADF,15,39.661712,33.577778
209,ADF,16,39.547145,33.891229
210,ADF,17,39.431739,34.203642
211,ADF,18,39.315500,34.515018
212,ADF,19,39.198435,34.825358
213,ADF,20,39.080548,35.134661
214,ADF,21,38.961848,35.442929
215,ADF,22,38.842339,35.750162
216,ADF,23,38.722028,36.056362
217,ADF,24,38.600921,36.361529
218,ADF,25,38.479025,36.665664
219,ADF,26,38.356345,36.968769
220,ADF,27,38.232887,37.270846
221,ADF,28,38.108657,37.571895
222,ADF,29,37.983662,37.871919
223,ADF,30,37.857908,38.170920
224,ADF,31,37.731400,38.468899
225,AER,0,41.275278,28.751944
226,AER,1,41.362080,29.100621
227,AER,2,41.447827,29.450224
228,AER,3,41.532513,29.800747
229,AER,4,41.616131,30.152182
230,AER,5,41.698677,30.504525
231,AER,6,41.780143,30.857767
232,AER,7,41.860525,31.211901
233,AER,8,41.939816,31.566921
234,AER,9,42.018011,31.922819
235,AER,10,42.095104,32.279587
236,AER,11,42.171089,32.637217
237,AER,12,42.245961,32.995702
238,AER,13,42.319713,33.355031
239,AER,14,42.392342,33.715198
240,AER,15,42.463840,34.076192
241,AER,16,42.534203,34.438006
242,AER,17,42.603426,34.800629
243,AER,18,42.671502,35.164052
244,AER,19,42.738427,35.528265
245,AER,20,42.804195,35.893259
246,AER,21,42.868802,36.259022
247,AER,22,42.932243,36.625545
248,AER,23,42.994511,36.992817
249,AER,24,43.055603,37.360827
250,AER,25,43.115514,37.729564
251,AER,26,43.174238,38.099017
252,AER,27,43.231771,38.469173
253,AER,28,43.288109,38.840022
254,AER,29,43.343246,39.211550
255,AER,30,43.397179,39.583747
256,AER,31,43.449902,39.956600
257,AGP,0,41.275278,28.751944
258,AGP,1,41.282135,27.631999
259,AGP,2,41.278137,26.512005
260,AGP,3,41.263288,25.392334
261,AGP,4,41.237597,24.273358
262,AGP,5,41.201084,23.155446
263,AGP,6,41.153773,22.038965
264,AGP,7,41.095699,20.924277
265,AGP,8,41.026903,19.811741
266,AGP,9,40.947433,18.701706
267,AGP,10,40.857344,17.594517
268,AGP,11,40.756700,16.490512
269,AGP,12,40.645568,15.390018
270,AGP,13,40.524025,14.293353
271,AGP,14,40.392153,13.200827
272,AGP,15,40.250041,12.112736
273,AGP,16,40.097783,11.029368
274,AGP,17,39.935478,9.950995
275,AGP,18,39.763231,8.877881
276,AGP,19,39.581152,7.810275
277,AGP,20,39.389357,6.748412
278,AGP,21,39.187964,5.692515
279,AGP,22,38.977096,4.642794
280,AGP,23,38.756881,3.599443
281,AGP,24,38.527448,2.562644
282,AGP,25,38.288933,1.532566
283,AGP,26,38.041470,0.509361
284,AGP,27,37.785200,-0.506829
285,AGP,28,37.520263,-1.515878
286,AGP,29,37.246804,-2.517673
287,AGP,30,36.964968,-3.512112
288,AGP,31,36.674900,-4.499110
289,AJI,0,41.275278,28.751944
290,AJI,1,41.250886,29.221469
291,AJI,2,41.224589,29.690630
292,AJI,3,41.196389,30.159401
293,AJI,4,41.166290,30.627754
294,AJI,5,41.134295,31.095663
295,AJI,6,41.100409,31.563103
296,AJI,7,41.064637,32.030047
297,AJI,8,41.026981,32.496470
298,AJI,9,40.987447,32.962347
299,AJI,10,40.946040,33.427652
300,AJI,11,40.902765,33.892361
301,AJI,12,40.857627,34.356449
302,AJI,13,40.810632,34.819892
303,AJI,14,40.761785,35.282666
304,AJI,15,40.711092,35.744748
305,AJI,16,40.658560,36.206114
306,AJI,17,40.604194,36.666741
307,AJI,18,40.548002,37.126607
308,AJI,19,40.489989,37.585689
309,AJI,20,40.430163,38.043966
310,AJI,21,40.368531,38.501416
311,AJI,22,40.305100,38.958018
312,AJI,23,40.239877,39.413751
313,AJI,24,40.172871,39.868595
314,AJI,25,40.104087,40.322530
315,AJI,26,40.033536,40.775536
316,AJI,27,39.961224,41.227594
317,AJI,28,39.887161,41.678685
318,AJI,29,39.811353,42.128792
319,AJI,30,39.733810,42.577895
320,AJI,31,39.654541,43.025978
321,ALA,0,41.275278,28.751944
322,ALA,1,41.654106,30.183444
323,ALA,2,42.014967,31.631476
324,ALA,3,42.357425,33.095609
325,ALA,4,42.681055,34.575343
326,ALA,5,42.985445,36.070108
327,ALA,6,43.270195,37.579265
328,ALA,7,43.534924,39.102108
329,ALA,8,43.779268,40.637859
330,ALA,9,44.002885,42.185675
331,ALA,10,44.205455,43.744650
332,ALA,11,44.386683,45.313814
333,ALA,12,44.546300,46.892140
334,ALA,13,44.684067,48.478550
335,ALA,14,44.799774,50.071915
336,ALA,15,44.893242,51.671066
337,ALA,16,44.964328,53.274799
338,ALA,17,45.012919,54.881880
339,ALA,18,45.038939,56.491056
340,ALA,19,45.042348,58.101061
341,ALA,20,45.023139,59.710620
342,ALA,21,44.981344,61.318466
343,ALA,22,44.917027,62.923339
344,ALA,23,44.830290,64.523999
345,ALA,24,44.721268,66.119232
346,ALA,25,44.590129,67.707859
347,ALA,26,44.437073,69.288737
348,ALA,27,44.262331,70.860773
